id,participant_id,q11_budget,completed_at
7537c392-698e-44ca-8ee8-7aee85cba47f,dae39537-13a5-45a3-ae49-4dbd155f0de2,€600-799,2025-11-07 13:53:04.742686+00
fc3c2a58-98d4-40c5-9da6-c21f346f0f4c,157bcbd1-0270-41ee-af9a-4211ed21ea7c,Over €800,2025-11-07 13:09:44.316074+00
ccf8fa71-f5f6-4864-a2cc-ce7cfa6b0966,95a96e83-18a8-47ad-919e-faee2ccf6d1d,€300-449,2025-11-07 13:07:47.966955+00
258858a6-cf9b-4642-8472-9bc8b204e3ec,95a96e83-18a8-47ad-919e-faee2ccf6d1d,€300-449,2025-11-07 13:07:36.157346+00
cfdfa8ab-8ecf-4ff3-8879-dd727022a3ce,b4dc7adf-e8db-4728-b4e3-9581f9be6651,€600-799,2025-11-06 16:01:25.569926+00
9dcae960-3110-49f8-ad28-a80c8ab108b0,362abfda-95f5-4779-ae87-183a8cb959cd,€600-799,2025-11-04 23:34:24.450156+00
96a48670-8260-4151-9aad-074dbf07617a,18b17697-3a40-4604-ba57-75c836a01401,€600-799,2025-11-04 17:32:31.401664+00
db41f2f9-e020-443b-99a2-56539927a0a3,bfa88b12-3ef7-44b4-b63a-edfae1b18d71,€450-599,2025-11-04 16:19:55.866439+00
21d7be2f-d2a0-448e-81cc-fcc696653485,25b4d886-f5c7-461e-864f-52ea2e3c01b7,€450-599,2025-11-04 16:18:36.092125+00
b5c728b0-27ed-4691-8663-ff8fd1f04548,25b4d886-f5c7-461e-864f-52ea2e3c01b7,€450-599,2025-11-04 16:15:39.765042+00
7b9e0ad8-d727-4a0c-aa20-159d837dce1a,25b4d886-f5c7-461e-864f-52ea2e3c01b7,€450-599,2025-11-04 16:14:38.945686+00
2e2d8fb7-775f-4cad-82d4-09a5a7a6c136,bf56d3db-8489-45ed-9e06-f24f499e0bc8,€600-799,2025-11-03 21:13:31.029275+00
b6bf2682-5d36-4908-8aaa-fe46080de6c3,1cde5bc6-87ef-4a39-87da-3e93c51cfffa,€600-799,2025-11-03 20:47:51.624353+00
3734f201-7525-4c9c-8cc7-444aef5b18c0,b9fede00-231a-4c78-8324-6691b1533caf,Over €800,2025-11-03 20:44:13.510166+00
fd14eacc-d5e7-4c30-959d-e0d9bfa0a09c,b9fede00-231a-4c78-8324-6691b1533caf,Over €800,2025-11-03 20:41:24.129924+00
41ef5d50-e3b8-4517-b063-6461702fea20,a7128b4a-e209-487c-844d-c485ecac85ec,€150-299,2025-11-03 20:38:38.753951+00
49effd68-d208-460c-a3a6-f71759ae2668,b9fede00-231a-4c78-8324-6691b1533caf,€300-449,2025-11-03 20:38:18.842596+00
e7ce7445-6e5c-4e8e-b1a5-8921ccd8acee,a543481c-04cb-4b98-a616-eaf896f1df99,Under €150,2025-11-03 18:26:10.866352+00
13cd3996-86c4-4d8d-aa9a-16b3b704cd9c,cb9660a8-d526-4241-8700-235ce3e07153,€600-799,2025-11-03 17:56:43.618787+00
8fbe378c-50ae-472e-9e80-22c0c343d015,386be8d7-6771-4885-8745-e30399b113d0,Over €800,2025-11-03 16:15:04.946637+00
1a14a5b5-3aac-4ebc-8191-e92d8186022e,65b3eb27-49b3-4605-b774-276b013b86af,€600-799,2025-11-02 19:21:04.981192+00
069f238d-f1ef-499e-8431-9631a9275080,a5192e43-ba28-42e5-84ef-bae523f81e89,Over €800,2025-10-31 16:16:57.359415+00
7ed259cf-9750-491f-9dfb-51a06b59ae4b,93f5f60a-cfa4-474d-b6e2-c6b860392ea2,€450-599,2025-10-31 14:54:32.981102+00
1495f61e-d798-4895-a04c-4be235328677,e9a313e1-1c7e-4546-9f45-cb2354489190,Over €800,2025-10-31 14:28:52.803955+00
38a38e31-deb0-4b81-a01a-76cdc5ca3dd2,a65764e7-9c2f-4219-aa12-fd54da7bf875,Over €800,2025-10-31 14:20:03.542786+00
0c05947a-f4bb-4572-beec-07e10df36231,145a5e3a-5d68-4457-9cc1-eaffd6662734,€300-449,2025-10-31 14:01:24.763496+00
ebf0c0c4-d706-4c2e-b950-e00b6ca2acbb,de565c32-62e7-4659-92f7-bfd80fc0a61c,Over €800,2025-10-31 12:42:09.502658+00
98fcaeee-f604-479c-bd78-9f666b7388c1,248c1f6f-3b38-4411-a85c-8040a5a74f4d,€300-449,2025-10-30 23:06:39.878077+00
2f2212ef-2e72-49fa-83ef-8670a3ccb312,6e109541-c2ae-46ea-827a-edf44d67660e,€450-599,2025-10-30 20:49:08.875667+00
b3397262-7357-4039-9075-cc666e6c9d88,ca0c9bac-e5be-4d79-af83-2c5358af9657,€600-799,2025-10-30 20:08:56.477478+00
6a5d3e37-2139-4240-b99a-f16b822f7ecb,5f62d87d-4912-454b-94d1-309c26c16b08,€600-799,2025-10-30 19:22:14.578598+00
