id,participant_id,session_start_time,session_end_time,session_duration_ms,record_created_at
bc159e1a-018b-4262-a42e-34e0a8e74591,2bc7c0dd-423b-4c5c-bbff-fd89aa61ae8a,2025-11-16 19:57:04.419+00,2025-11-16 20:01:36.141+00,271722,2025-11-16 19:57:04.710171+00
5bd1430f-c93d-496a-abe4-010f4bcb19d3,e2f70344-8588-468c-9dc2-8c2993f5b6c9,2025-11-15 23:30:13.982+00,2025-11-15 23:31:57.793+00,103811,2025-11-15 23:30:14.824905+00
863a950b-db36-4976-824b-ada1ba63f91a,82e40cf7-aadd-46a9-a1b5-f68aed30f6af,2025-11-15 06:39:26.173+00,2025-11-15 06:39:30.903+00,4730,2025-11-15 06:39:27.209647+00
088ff36e-9804-4efd-a873-16f391353b96,233c60f2-995c-4779-970d-dbbbd7c1da52,2025-11-14 23:22:13.55+00,2025-11-14 23:22:44.427+00,30877,2025-11-14 23:22:13.342201+00
7d988899-44fa-4d63-b571-bbbb76657bb2,233c60f2-995c-4779-970d-dbbbd7c1da52,2025-11-14 23:20:52.474+00,2025-11-14 23:21:55.223+00,62749,2025-11-14 23:20:52.391123+00
93dcb738-8a7d-4251-ac5c-862baca26c2e,233c60f2-995c-4779-970d-dbbbd7c1da52,2025-11-14 23:16:45.88+00,2025-11-14 23:19:54.161+00,188281,2025-11-14 23:16:45.708017+00
8f9daa8b-8723-467f-9b15-e80968696c81,88584cfe-a550-4209-a1f3-be628bb2647b,2025-11-13 16:30:35.581+00,2025-11-13 16:31:26.904+00,51323,2025-11-13 16:30:35.975861+00
1e5e458d-620f-463c-8deb-013657ad1ff0,25e47297-047a-4582-bc17-c13f5b2ef07b,2025-11-13 12:58:29.396+00,2025-11-13 13:01:29.111+00,179715,2025-11-13 13:01:29.459197+00
87b1fd7a-4672-4d15-8071-629de788b3a4,25e47297-047a-4582-bc17-c13f5b2ef07b,2025-11-13 12:58:29.396+00,2025-11-13 13:01:28.567+00,179171,2025-11-13 12:58:29.768223+00
cea6c194-763d-459d-8099-bb41371eceae,f668df6c-a949-40d0-8ff9-840a65e676a2,2025-11-12 20:50:27.26+00,2025-11-12 20:51:45.728+00,78468,2025-11-12 20:51:46.6531+00
6724e0bb-9e3d-42ff-acd3-e0573cb22138,f668df6c-a949-40d0-8ff9-840a65e676a2,2025-11-12 20:50:27.26+00,2025-11-12 20:51:44.395+00,77135,2025-11-12 20:50:28.255139+00
83543a26-e647-4602-abc3-787c9c4e787e,76ca052a-413b-426f-bf8e-5bc80d00c05a,2025-11-12 20:13:37.197+00,2025-11-12 20:16:29.217+00,172020,2025-11-12 20:13:34.477818+00
1321bab5-86a3-41ab-9f7c-7c60ee828e24,eb2efe5b-53d6-4751-9ba5-2004d1234e28,2025-11-12 15:38:38.317+00,2025-11-12 15:39:36.089+00,57772,2025-11-12 15:38:39.194459+00
6e94f381-6823-4d7b-9ac8-49b49a9861c3,eb2efe5b-53d6-4751-9ba5-2004d1234e28,2025-11-12 15:36:49.579+00,2025-11-12 15:38:06.475+00,76896,2025-11-12 15:36:50.330493+00
f1f82294-c3f6-49e4-bd11-4216820c2650,b5a7af15-f889-4b20-b58c-192fe764f0b6,2025-11-11 18:50:55.24+00,2025-11-11 18:56:22.848+00,327608,2025-11-11 18:50:55.589384+00
db6b6511-1267-4fd2-b773-5c8bb0dba726,d7c7e6ac-408e-462d-8c9a-5f27b58b5aa8,2025-11-11 16:03:27.023+00,2025-11-11 16:04:21.588+00,54565,2025-11-11 16:03:27.68541+00
4bb9f000-bb24-41d3-8487-abacc57ff0d3,d7c7e6ac-408e-462d-8c9a-5f27b58b5aa8,2025-11-11 16:00:42.583+00,2025-11-11 16:02:54.905+00,132322,2025-11-11 16:00:42.904414+00
3c9af800-a075-4f94-8bf2-511de26f0eb0,0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:17:24.366+00,2025-11-11 03:17:40.199+00,15833,2025-11-11 03:17:24.952477+00
edb14f61-b2ee-42b8-bc44-191c4f0629b4,0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:17:01.57+00,2025-11-11 03:17:11.632+00,10062,2025-11-11 03:17:02.304372+00
e2249269-6636-4675-ad12-845fff6547c0,0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:16:11.301+00,2025-11-11 03:16:51.181+00,39880,2025-11-11 03:16:11.955979+00
aec2a10d-a22b-472d-9ac7-a1d15f7b18f7,0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:14:18.638+00,2025-11-11 03:16:04.1+00,105462,2025-11-11 03:14:19.356667+00
ecbcf3c5-f017-4e97-b2b2-3c897eee8d01,0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:13:33.605+00,2025-11-11 03:14:06.384+00,32779,2025-11-11 03:13:34.263028+00
